LABEL,DIFF,EXCL,NEG,NGTNEG,NGTPOS,POS,W1,W2,W3,W4,W5
0,-1,0,2,0,0,1,we,are,left,with,a
0,1,0,0,0,0,1,this,film,looks,like,it
0,0,0,0,0,0,0,if,only,the,story,about
1,2,0,2,0,0,4,seldahl's,barbara,is,a,precise
0,-1,0,3,0,0,2,the,script,falls,back,on
0,3,0,0,0,0,3,on,the,right,track,to
1,0,0,0,0,0,0,proves,mainly,that,south,korean
0,2,0,0,0,0,2,better,at,putting,you,to
0,-1,0,1,0,0,0,the,movie,has,very,little
1,-1,0,2,0,0,1,though,the,violence,is,far
0,1,0,1,0,0,2,apart,from,dazzling,cinematography,","
1,1,0,1,0,0,2,awkward,but,sincere,and,","
0,0,0,1,0,0,1,so,boring,that,even,its
0,0,0,2,0,1,2,dreary,",",highly,annoying,.
1,3,0,1,0,0,4,there,are,a,couple,of
0,-5,0,6,0,0,1,egoyan's,movie,is,too,complicated
1,2,0,0,0,0,2,an,important,movie,",",a
1,0,0,2,0,0,2,a,perfectly,pleasant,if,slightly
0,0,0,2,0,0,2,there,are,films,that,try
0,-1,0,2,0,0,1,what,starts,off,as,a
1,1,0,0,0,0,1,digital-video,documentary,about,stand-up,comedians
1,1,0,0,0,0,1,a,riveting,story,well,told
1,1,0,2,0,0,3,it's,truly,awful,and,heartbreaking
1,1,0,0,0,0,1,it,is,amusing,",",and
1,-1,0,1,1,0,0,the,movie,is,not,as
1,1,0,0,0,0,1,one,of,the,greatest,family-oriented
0,1,1,2,0,0,3,try,as,i,may,","
1,2,0,1,0,0,3,a,glib,but,bouncy,bit
1,2,0,0,0,0,2,benefits,from,a,strong,performance
1,1,0,0,0,0,1,it's,a,talking,head,documentary
0,1,0,0,0,0,1,it's,young,guns,meets,goodfellas
1,0,0,1,0,0,1,the,film,is,quiet,","
1,1,0,1,0,0,2,.,.,.,mesmerizing,","
1,1,0,0,0,0,1,without,resorting,to,hyperbole,","
0,-3,0,3,0,0,0,it,concentrates,far,too,much
0,-2,0,4,0,1,2,if,you,pitch,your,expectations
0,1,0,0,0,0,1,.,.,.,the,kind
0,0,0,2,0,0,2,overly,stylized,with,lots,of
1,0,0,2,0,0,2,watching,this,gentle,",",mesmerizing
0,-2,0,2,0,0,0,portentous,and,pretentious,",",the
1,1,0,0,0,0,1,that,old,adage,about,women
0,1,0,1,0,0,2,in,the,name,of,an
0,-1,0,1,0,0,0,velocity,represents,everything,wrong,with
0,0,0,0,0,0,0,the,piano,teacher,is,the
0,0,0,1,0,0,1,on,the,whole,",",the
1,0,0,1,0,0,1,a,deep,and,meaningful,film
0,-2,0,3,0,0,1,whenever,its,story,isn't,bogged
1,1,0,0,0,0,1,an,escapist,confection,that's,pure
1,1,0,0,0,0,1,a,film,of,ideas,and
1,-2,0,2,0,0,0,high,crimes,knows,the,mistakes
1,3,0,0,0,0,3,as,a,vehicle,to,savour
1,0,0,2,0,0,2,much,of,the,movie's,charm
0,1,0,1,0,0,2,works,hard,to,establish,rounded
