LABEL,DIFF,EXCL,NEG,NGTNEG,NGTPOS,POS,W1,W2,W3,W4,W5
0,0,0,2,0,0,2,ultimately,.,.,.,the
1,-1,0,2,0,0,1,(,a,),hollywood,sheen
0,-1,0,2,0,1,1,completely,creatively,stillborn,and,executed
0,2,0,1,0,0,3,opens,as,promising,as,any
0,0,0,2,0,0,2,a,perfect,example,of,rancid
0,2,0,2,0,0,4,the,parts,are,better,than
0,1,0,1,0,0,2,the,notion,of,deleting,emotion
1,0,0,1,0,0,1,slight,but,enjoyable,documentary,.
0,-3,0,3,0,0,0,shamelessly,sappy,and,",",worse
0,-1,0,1,0,0,0,.,.,.,its,stupidities
0,-1,0,4,0,1,3,a,boring,",",pretentious,muddle
1,3,0,0,0,0,3,a,hip,ride,into,hyper-time
0,4,0,2,0,0,6,in,any,case,",",i
1,-4,0,6,0,0,2,the,passions,aroused,by,the
1,1,0,1,0,0,2,even,when,foreign,directors,.
1,2,0,2,0,0,4,the,film,provides,some,great
1,3,0,0,0,0,3,a,movie,i,loved,on
0,0,0,1,0,0,1,basically,a,static,series,of
0,-1,0,1,0,0,0,julia,is,played,with,exasperating
1,2,0,0,0,0,2,a,sports,movie,with,action
0,2,0,1,0,0,3,despite,engaging,offbeat,touches,","
0,-1,0,1,0,0,0,a,trashy,",",exploitative,","
0,0,0,2,0,0,2,other,than,a,mildly,engaging
1,3,0,0,0,0,3,able,to,provide,insight,into
1,-1,0,2,0,0,1,the,premise,of,jason,x
0,2,0,1,0,0,3,the,character,is,too,forced
0,0,0,1,0,0,1,.,.,.,hudlin,is
0,0,0,1,0,0,1,there,may,have,been,a
0,2,0,2,0,1,4,nights,feels,more,like,a
1,2,0,0,0,0,2,some,may,choose,to,interpret
1,-1,0,1,0,0,0,those,who,would,follow,haneke
0,3,0,1,0,0,4,even,legends,like,alfred,hitchcock
0,-1,0,1,0,0,0,glizty,but,formulaic,and,silly
0,2,0,0,0,0,2,a,mechanical,action-comedy,whose,seeming
0,1,0,1,1,1,2,it's,all,very,cute,","
0,2,0,1,0,0,3,the,result,",",however,well-intentioned
0,1,0,0,0,0,1,sometimes,smart,but,more,often
0,-2,0,2,0,0,0,well-shot,but,badly,written,tale
